Title	ISSN	Field	Field2	Documentation
IEEE/ACM Transactions on Computational Biology and Bioinformatics	1545-5963	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=8857
IEEE/ACM Transactions on Networking	1063-6692	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=90
IEEE/ASME Transactions on Mechatronics	1083-4435	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=3516
IEEE/OSA Journal of Optical Communications and Networking	1943-0620	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4563700
IET Biometrics	2047-4938	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6072579
IET Circuits, Devices & Systems	1751-858X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4123966
IET Communications	1751-8628	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4105970
IET Computer Vision	1751-9632	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4159597
IET Computers & Digital Techniques	1751-8601	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4117424
IET Control Theory & Applications	1751-8644	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4079545
IET Electric Power Applications	1751-8660	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4079749
IET Electrical Systems in Transportation	2042-9738	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5704588
IET Generation, Transmission & Distribution	1751-8687	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4082359
IET Image Processing	1751-9659	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4149689
IET Information Security	1751-8709	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4149673
IET Intelligent Transport Systems	1751-956X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4149681
IET Micro & Nano Letters	1750-0443	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=11102
IET Microwaves, Antennas & Propagation	1751-8725	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4126157
IET Nanobiotechnology	1751-8741	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4123961
IET Networks	2047-4954	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6072580
IET Optoelectronics	1751-8768	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4117432
IET Power Electronics	1755-4535	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4475725
IET Radar, Sonar & Navigation	1751-8784	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4119394
IET Renewable Power Generation	1752-1416	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4159946
IET Science, Measurement & Technology	1751-8822	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4105888
IET Signal Processing	1751-9675	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4159607
IET Software	1751-8806	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4124007
IET Synthetic Biology	1752-1394	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4290605
IET Systems Biology	1751-8849	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4100185
IET Wireless Sensor Systems	2043-6386	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5704589
IT Professional	1520-9202	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=6294
Journal of Applied Physics	0021-8979	physics	x	http://ieeexplore.ieee.org/servlet/opac?punumber=4915369
Journal of Communications and Networks	1229-2370	physics	x	http://ieeexplore.ieee.org/servlet/opac?punumber=5449605
Journal of Display Technology	1551-319X	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=9425
Journal of Lightwave Technology	0733-8724	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=50
Journal of Microelectromechanical Systems	1057-7157	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=84
Journal of Systems Engineering and Electronics	x	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5971804
Journal of Vacuum Science & Technology A: Vacuum, Surfaces, and Films	0734-2101	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4915548
Journal of Vacuum Science & Technology B: Microelectronics and Nanometer Structures	1071-1023	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4915583
Proceedings of the IEEE	0018-9219	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5
Review of Scientific Instruments	0034-6748	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=4915264
Tsinghua Science and Technology	x	engineering	communications	http://ieeexplore.ieee.org/servlet/opac?punumber=5971803
